Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
42,"Mi hermana se ha pegado en el colegio, debí haberla avisado que eso podía suceder.",Personalización,,,,,,No tenía manera de saber que eso iba a suceder para haberla podido avisado,"Me siento solo ultimamente, es parte de la vida",,,,
43,"La camarera del bar me ha mirado con muy mala cara, seguro que piensa que soy desagradable.",Personalización,Leer la mente,,,,,Si la camarera me ha mirado mal no tengo manera de saber lo que piensa,He hecho todo lo que he podido para que mi alumno apruebe,,,,
44,"La dependienta me ha dicho que mejor que coja una talla grande de los pantalones, seguro que lo dice porque piensa que estoy gorda. ",Personalización,Leer la mente,,,,,No tengo motivos para creer que piense eso,"Mi amiga no me habla, es su problema",,,,
45,"Mi amiga me ha dicho que le gusta mucho mi falda, seguro que me tiene envidia.",Personalización,,,,,,Que le haya gustado mi falda a mi amiga no quiere decir que me tenga envidia,"Hoy me han hablado fatal en el trabajo, no me lo merezco",,,,
46,"Unos chicos se estaban riendo cuando he pasado por la calle, seguro que es por lo horrible que voy vestida hoy.",Personalización,,,,,,No tengo manera de saber de que se estaban riendo los chicos,"Mi hijo ha roto la ventana, es un desastre",,,,
47,"Se me ha quemado toda la comida, soy una cocinera horrible.",Personalización,Sobregeneralización,,,,,Que se me haya quemado la comida una vez no quiere decir que sea una mala cocinera,"El camarero me ha mirado muy mal, debe ser porque es un antipatico",,,,
48,"En el trabajo hay rumores de que van a hechar a alguien, seguro que voy a ser yo.",Personalización,Adivinación,,,,,No tengo manera de saber a quien van a hechar,,,,,
49,"Cuando la secretaria ha dicho que han habido quejas de algun residente, seguro que ha sido por mi.",Personalización,,,,,,No puedo saber hacia quien van dirigidas las quejas,,,,,
50,"He escuchado como criticaban a alguien, estoy segura que era por mi",Personalización,,,,,,No tengo manera de saber que las criticas estan dirigidas a mi,,,,,
51,"Juan no me ha invitado a su boda, seguro que no le caigo bien.",Personalización,,,,,,Si Juan no me ha invitado a su boda puede haber sido por otra razon a parte de que no le caiga bien,,,,,
52,"Marta se ha puesto muy guapa hoy, seguro que es para darme envidia.",Personalización,,,,,,No tengo manera de saber las razones de porque se ha puesto guapa hoy Marta,,,,,
53,"Paula tiene muy mala cara, seguro que está enfadada conmigo.",Personalización,,,,,,Pueden haber muchas razones por las que Paula tenga mala cara hoy,,,,,
54,"Mi hijo ha suspendido una asignatura, no he conseguido educalo bien.",Personalización,,,,,,Si mi hijo ha suspendido no tiene porque ser mi culpa,,,,,
55,"Pepe y Manuel se estan riendo, seguro que es de mi.",Personalización,,,,,,Desconozco la razón de porque se ríen ,,,,,
56,"Un chico me mira raro en el trabajo, seguro que está criticando mi cuerpo. ",Personalización,Leer la mente,,,,,No puedo sacar eso tipo de conclusiones con solo una mirada,,,,,
57,"La profesora me mira mientras corrige, seguro que me suspende. ",Personalización,,,,,,Que la profesora me esté mirando no quiere decir que vaya a suspenderme,,,,,
58,Si no me hacen caso es porque me consideran tonto.,Personalización,,,,,,Que no me hagan caso puede ser por muchos motivos,,,,,
59,"No puedo ni salir de la cama, soy un auntentico fracasado.",Personalización,,,,,,Que no pueda salir de la cama no me convierte en un fracasado,,,,,
60,"Hay un mal clima en casa, seguro que ya he hecho algo mal",Personalización,,,,,,Que note un mal clima en casa no tiene porque ser mi culpa,,,,,
61,"El vecino ha pasado sin saludar, debe estar molesto por algo conmigo.",Personalización,,,,,,Si el vecino no me ha saludado tal vez es que no me ha visto,,,,,
62,"El vino no estaba bueno, debería haber escogido otro.",Personalización,,,,,,Si el vino no estaba bueno no es mi culpa,,,,,
63,"Mi padre se ha enfadado con mi hermana, seguro que también se enfada conmigo.",Personalización,,,,,,Si mi padre se enfada con mi hermana no tiene porque enfadarse conmigo,,,,,
64,"Tomás se ha caído jugando en el parque, no lo he vigilado suficiente.",Personalización,,,,,,"Aunque hubiera vigilado más, Tomás ",,,,,
65,"Mi madre llega tarde a casa, seguro que lo hace para molestarme.",Personalización,,,,,,No tengo motivos para pensar que si mi madre llega tarde es para molestarme,,,,,
66,"Alejandro no me ha contestado al mensaje, ya no le importo.",Personalización,,,,,,Hay muchos motivos por los que Alejandro puede no haberte contestado,,,,,
67,"Ese señor se ha canviado de acera al verme, seguro que tiene una mala imagen de mi.",Personalización,,,,,,No tengo ningun motivo para creer que tiene una mala imagen de mi,,,,,
68,"Nadie se ha sentado a mi lado, seguro que es porque huelo mal.",Personalización,,,,,,No tengo motivos por los que creer que huelo mal si nadie se ha sentado a mi lado,,,,,
69,"Maria se ha sentado en mi sitio en clase, seguro que lo hace para molestarme.",Personalización,,,,,,No puedo sacar la conclusion de que lo hace para molestarme,,,,,
70,"Nadie se ha fijado en mi nuevo corte de pelo, seguro que me queda mal.",Personalización,,,,,,Que nadie se haya fijado no quiere decir que me quede mal,,,,,
71,"Han quedado para cenar y no me han dicho nada, ya no me quieren como su amiga.",Personalización,,,,,,Si no me han avisado puede ser por mas razones a parte de que ya no me quieran como su amiga,,,,,
72,"No me han regalado nada por mi cumpleaños, nadie me quiere.",Personalización,Abstracción selectiva,,,,,Que no haya recibido regalos no implica que nadie me quiera,,,,,
73,"Me he quemado con la plancha, soy una despistada.",Personalización,,,,,,Que me haya quemado una vez no me convierte en una despistada,,,,,
74,"Mi pareja no me ha contestado a la pregunta que le he hecho, me quiere hacer daño.",Personalización,,,,,,Que mi pareja no me conteste no quiere decir que quiera hacerme daño,,,,,
75,"Mi madre me ha regañado por tener la habitación desordenada, soy un desastre.",Personalización,,,,,,Que mi madre me regañe no me convierte en un desastre,,,,,
76,"No me veo bien con nada, estoy gorda.",Personalización,,,,,,Que yo no me vea bien no quiere decir que esté gorda,,,,,
77,"Mi jefe me ha llamado, seguro que he hecho algo malo.",Personalización,,,,,,Hay muchas razones por las que mi jefe puede haberme llamado,,,,,
78,"Si no consigo aprobar el examen, será porque no soy suficienemente buena.",Personalización,,,,,,Si no paso el examen no significa que no sea suficientemente buena,,,,,
79,"Cuando mi madre me ha dicho que se ha roto el sofa, inmediatamente he pensado que ha debido de ser mi culpa",Personalización,,,,,,"Si se ha roto el sofà, no tengo que pensar que ha sido mi culpa",,,,,
80,"Han llamado del medico porque han empeorado las analíticas, no se que es lo que he hecho mal",Personalización,,,,,,"Si las analíticas han empeorado, no tiene porque ser mi culpa",,,,,
81,"Hemos perdido el partido, es culpa mía por haber fallado ese gol",Personalización,,,,,,"Si hemos perdido el partido, no solo ha sido mi culpa",,,,,
82,"Cuando se ha comentado que las ventas de este año habían bajado, todo el mundo ha callado, seguro que me culpan a mi",Personalización,,,,,,No tengo motivos para creer que solo ha sido culpa mia,,,,,
83,"En el comedor habia mucha gente riendose, notaba como todos me criticaban con la mirada",Personalización,,,,,,no tengo ninguna prueba de que se reían de mi,,,,,
84,"Mi padre ha llegado tarde otra vez, lo habrá hecho para castigarme",Personalización,,,,,,Desconozco porque mi padre ha llegado tarde,,,,,
85,"Cuando las cosas no van bien, siempre pienso que es mi culpa",Personalización,,,,,,Si las cosas no van bien no tiene porque ser culpa mía,,,,,
86,"Cuando la tutora ha comentado que alguien se había quejado de un residente, inmediatamente he pensado que era yo",Personalización,,,,,,A parte de mi se pueden haber quejado de otro residente,,,,,
87,"Estabamos comiendo y alguien ha dicho que deberíamos comer más sano, se que lo dice por mi",Personalización,,,,,,Desconozco el motivo de porque ha dicho eso,,,,,
88,"Mi perro le ha mordido a otro en el parque, es culpa mía por no educarlo bién",Personalización,,,,,,No debo atribuirme toda la culpa de que haya ocurrido,,,,,
89,"Mi abuela se ha olvidado la cita con el médico hoy, debería haberselo recordado",Personalización,,,,,,"Si mi abuela ha olvidado la cita del médico, alguien más podria habérselo recordado",,,,,
90,"Se me ha caído el plato al suelo y se ha roto, soy un desastre",Personalización,Abstracción selectiva,,,,,Que se me haya caído un plato no me convierte en un desastre,,,,,
91,"Es el dia que ha llovido más del año y había colgado la ropa para seca, debería haberlo sabido y no haberla puesto.",Personalización,Leer la mente,,,,,No tenía manera de saber que iba a llover tanto,,,,,
92,"He tirado la basura sin saber que a mi madre se le había caído una pulsera dentro y ahora no hay forma de recuperarla, es culpa mía.",Personalización,,,,,,"No tenía forma de saber que había la pulsera en la basura, no es mi culpa",,,,,
93,"Mientras bailaba me he torcido el tobillo y ahora ya no podré bailar en mucho tiempo, soy un desastre.",Personalización,,,,,,"Haberme caído no me convierte en un desastre, un accidente lo tiene cualquiera",,,,,
94,"Durante la exposición he hecho una pregunta y nadie ha respondido, seguro que es porque no me se expresar bien.",Personalización,,,,,,Si nadie ha respondido no tiene porque ser causa de que no me haya expresado bien,,,,,
95,"Se ha caído la pared de la habitación por culpa del moho, es culpa mía por no haberlo sabido antes",Personalización,,,,,,No sabía que se caeria la pared por el moho,,,,,
96,"Durante la comida mi madre y mi hermana se han mirado y se han puesto a reir, seguro que se estaban burlando de mi",Personalización,,,,,,Desconozco el motivo de porque se estaban riendo,,,,,
97,"Me han robado la cartera en el metro, si hubiera cogido bien la mochila no habría pasado",Personalización,,,,,,No es mi culpa que me hayan robado,,,,,
98,"Cuando me ha visto el vecino entrar al ascensor ha ido a coger las escaleras, seguro que piensa mal de mi.",Personalización,,,,,,Que mi vecino haya cogido las escaleras no tiene porque ser que piense mal de mi,,,,,
99,"Las preguntas del examen han sido muy difíciles y he suspendido, es mi culpa por no haber estudiado más",Personalización,,,,,,"Por mucho que hubiera estudiado más, tal vez hubiese suspendido igual",,,,,
100,"En el parque mi hijo se ha caído del tobogán, debería haber estado vigilandolo más",Personalización,,,,,,Que mi hijo se haya caído no es mi culpa,,,,,
101,"Mi pareja se ha olvidado de pagar la factura del agua, debí haberselo recordado.",Personalización,,,,,,No tenía porque haberle recordado ,,,,,
102,"Resbalé en la ducha y me caí, debí haber ido con más cuidado.",Personalización,,,,,,Todo el mundo puede tener un accidente,,,,,
103,"No me han cogido para el nuevo trabajó al que apliqué, seguro que es porque no soy bueno en lo que hago.",Personalización,,,,,,Que no me hayan cogido para el trabajo no implica que no sea bueno en lo que hago,,,,,
104,"Han entrado a robar esta noche a mi casa, debería haberme preparado antes y poner una alarma. ",Personalización,,,,,,No es mi culpa que hayan entrado a robar,,,,,
105,"Mi hija ha suspendido todas las asignaturas este año, si la huebiera educado emejor esto no habría pasado.",Personalización,,,,,,Si mi hija ha suspendido todas las asignaturas no es por haberla educado mal,,,,,
106,"Mi perro ha mordido a la vecina, si lo hubiera educado bien esto no habría pasado.",Personalización,,,,,,No podía imaginar que mi perro mordería a la vecina,,,,,
107,"Mi primo ha vuelto a recaer en las drogas, si lo hubiera hecho algo esto no habría pasado.",Personalización,,,,,,No me puedo culpar porque mi primo haya recaído en las drogas,,,,,
108,"Mi padre nunca sonríe desde que estoy cuidando de él, seguro que es por mi culpa.",Personalización,,,,,,"Si mi padre no sonríe, no es por mi culpa",,,,,
109,"Hemos ido de viaje y al ir al museo estaba cerrado, es mi culpa por no haberlo mirado antes.",Personalización,,,,,,No es mi culpa que el museo estubiera cerrado,,,,,
110,"Esta mañana me he equivocado de clase y todo el mundo se me ha quedado mirando, seguro que piensan que soy una pringada",Personalización,Leer la mente,,,,,No tengo manera de saber lo que estaban pensando,,,,,
111,"Cuando le hablo a mi madre del trabajo siempre cambia de tema, seguro que no le interesa",Personalización,Leer la mente,,,,,Que mi madre cambie de tema no tiene porque indicar que no le interessa,,,,,
